situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
I attended a football match with my son and the home team that we were 'supporting' won but I am not interested in football and it didn't affect me that they won.,no-emotion,envent,2.0,3.0,4.0,3.0,5.0,4.0,,,3.0,3.0,2.0,5.0,,
I attended a hockey game with my husband and had/have no interest in the game whatsoever.,boredom,envent,3.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,4.0,,
"I attended a lecture on the impacts of international trade on UK SMEs, which was hosted by a particularly monotone gentleman who spent most of the time speaking with his eyes closed. The content and delivery of the talk combined to the point that I and many others could not concentrate and I held my attention by drawing and entire tattoo sleeve onto my left arm with my pen.",boredom,envent,1.0,5.0,3.0,4.0,3.0,5.0,,,4.0,2.0,2.0,5.0,,
I attended a lecture that wasn't interesting at all and I was unable to leave.,boredom,envent,2.0,3.0,4.0,3.0,3.0,2.0,,,2.0,2.0,1.0,5.0,,
I attended a social event for the first time as a single women following a divorce,pride,envent,4.0,2.0,4.0,4.0,1.0,4.0,,,2.0,4.0,3.0,3.0,,
"I attended my nan's funeral. Was not affected by everyone else being sad and crying, I felt ...",no-emotion,envent,1.0,4.0,2.0,4.0,4.0,2.0,,,4.0,4.0,2.0,2.0,,
I attended the funeral of my partner,no-emotion,envent,1.0,1.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,4.0,,
I bailed on going to recent events planned by my friends,guilt,envent,2.0,4.0,2.0,2.0,4.0,2.0,,,2.0,2.0,4.0,2.0,,
I baked a cake and my family liked it,joy,envent,5.0,1.0,4.0,4.0,5.0,3.0,,,3.0,2.0,4.0,3.0,,
I baked a delicious strawberry cobbler.,pride,envent,5.0,1.0,5.0,4.0,5.0,1.0,,,2.0,1.0,5.0,1.0,,
I beat somebody in a fight,pride,envent,3.0,3.0,5.0,3.0,5.0,4.0,,,5.0,5.0,5.0,4.0,,
I became chartered,pride,envent,5.0,1.0,2.0,1.0,5.0,1.0,,,5.0,1.0,1.0,1.0,,
I became pregnant,trust,envent,1.0,5.0,5.0,5.0,4.0,4.0,,,5.0,5.0,1.0,3.0,,
I began filling out surveys,no-emotion,envent,3.0,3.0,5.0,4.0,5.0,1.0,,,4.0,4.0,5.0,2.0,,
"I began teaching piano lessons. My first class was three sisters, ages 8, 6, and 5, and they were delightful and so much fun. I've been a traditional English teacher for many years, but being able to teach something I love so much (like music) has changed my entire outlook, and it always brings me ....",joy,envent,5.0,1.0,4.0,5.0,3.0,5.0,,,4.0,4.0,5.0,3.0,,
I bought a block of cheese this morning,no-emotion,envent,3.0,1.0,2.0,1.0,5.0,1.0,,,1.0,1.0,5.0,1.0,,
I bought a cooked chicken and it wasn't cooked properly and was pink and slimy,disgust,envent,1.0,5.0,3.0,1.0,1.0,5.0,,,1.0,3.0,1.0,3.0,,
I bought a new car.,joy,envent,4.0,2.0,4.0,3.0,4.0,2.0,,,3.0,1.0,3.0,2.0,,
I bought a new vehicle,surprise,envent,3.0,2.0,5.0,5.0,5.0,2.0,,,5.0,5.0,5.0,4.0,,
I bought a stock that doubled in price within days,joy,envent,5.0,1.0,2.0,3.0,4.0,1.0,,,4.0,1.0,1.0,2.0,,
"I bought an oculus rift and tried it for the first time, it was a great new experience",joy,envent,5.0,1.0,1.0,1.0,5.0,1.0,,,1.0,1.0,5.0,1.0,,
I bought KFC burger and it was of very poor quality,disgust,envent,1.0,5.0,5.0,2.0,1.0,5.0,,,2.0,5.0,1.0,4.0,,
I bought my car recently,pride,envent,5.0,1.0,3.0,4.0,5.0,1.0,,,1.0,2.0,3.0,2.0,,
i bought my first car after i had passed my restricted license test,joy,envent,5.0,1.0,4.0,2.0,4.0,4.0,,,4.0,3.0,4.0,4.0,,
I bought my first car because it made me feel independent.,joy,envent,5.0,1.0,5.0,1.0,5.0,1.0,,,5.0,3.0,4.0,2.0,,
I bought my first house,pride,envent,5.0,1.0,4.0,5.0,5.0,4.0,,,5.0,4.0,4.0,4.0,,
I bought my house,pride,envent,3.0,3.0,4.0,5.0,5.0,2.0,,,4.0,3.0,3.0,3.0,,
I bought my new puppy,relief,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,5.0,4.0,4.0,4.0,,
I bought my own horse with my own money I had worked hard to afford,joy,envent,5.0,1.0,5.0,4.0,5.0,1.0,,,5.0,5.0,4.0,3.0,,
I bowled two people out during the final over of my cricket game to win the final.,pride,envent,5.0,1.0,4.0,1.0,4.0,2.0,,,2.0,4.0,4.0,2.0,,
i boxed because it was a challange,pride,envent,3.0,3.0,5.0,5.0,5.0,2.0,,,4.0,3.0,4.0,2.0,,
i broke a boys heart,guilt,envent,1.0,5.0,2.0,2.0,5.0,1.0,,,3.0,4.0,4.0,1.0,,
I broke the vase and lied against my sister which was scolded afterwards.,guilt,envent,1.0,5.0,2.0,5.0,4.0,1.0,,,5.0,5.0,4.0,3.0,,
I broke up my husbands then family unit. I was having an affair with my now husband when he had a family and the kids were young. The ... came from taking away the stability of the family unit as they relied upon their dad to give them a normal life.,guilt,envent,2.0,3.0,3.0,5.0,4.0,4.0,,,5.0,1.0,1.0,1.0,,
I broke up with my ex girlfriend,guilt,envent,1.0,5.0,5.0,5.0,3.0,3.0,,,3.0,4.0,5.0,2.0,,
"I broke up with my ex, because we were together for 7 years and shared lots of memories together.",sadness,envent,1.0,5.0,3.0,5.0,3.0,3.0,,,4.0,2.0,1.0,3.0,,
"I broke up with my ex. I had caught her in three different occasions with a particular guy. So, i was already expecting another cheating event from her. I tried to feel anger but the more I felt virtually ....",no-emotion,envent,4.0,2.0,5.0,3.0,2.0,5.0,,,3.0,4.0,5.0,2.0,,
I broke up with my girlfriend.,sadness,envent,1.0,3.0,4.0,3.0,2.0,2.0,,,4.0,3.0,2.0,3.0,,
I broke up with my last partner.,no-emotion,envent,1.0,4.0,3.0,4.0,4.0,4.0,,,4.0,3.0,4.0,2.0,,
i brought home my new puppy,joy,envent,5.0,1.0,4.0,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,,
I brought my dog from the animal shelter. I was so ... and it was the best day of my life.,joy,envent,5.0,1.0,2.0,2.0,4.0,3.0,,,2.0,3.0,4.0,3.0,,
I brushed my teeth this morning.,no-emotion,envent,4.0,1.0,4.0,2.0,5.0,1.0,,,3.0,3.0,5.0,1.0,,
I built up thousands of pounds of debt and stole from my gf to help,guilt,envent,1.0,5.0,5.0,5.0,5.0,1.0,,,5.0,4.0,5.0,1.0,,
I bumped into a good friend that I hadn't seen in a long time. This happened in a place I really wouldn't have expected to have seen her.,surprise,envent,5.0,1.0,4.0,3.0,4.0,4.0,,,1.0,4.0,3.0,2.0,,
i burnt my dinner,no-emotion,envent,1.0,5.0,5.0,4.0,5.0,1.0,,,3.0,5.0,3.0,1.0,,
I called in sick at work,guilt,envent,1.0,5.0,1.0,3.0,1.0,1.0,,,3.0,4.0,3.0,2.0,,
I came home from a long trip away from home,relief,envent,4.0,1.0,2.0,1.0,3.0,1.0,,,1.0,1.0,1.0,3.0,,
I came out and received (mostly) positive feedback,relief,envent,2.0,2.0,2.0,5.0,5.0,3.0,,,5.0,2.0,1.0,1.0,,
I came out as bi to my best friend,trust,envent,3.0,2.0,4.0,3.0,4.0,1.0,,,4.0,4.0,3.0,2.0,,
I came out lesbian,shame,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,5.0,5.0,,
I came out to my parents,pride,envent,4.0,2.0,4.0,4.0,5.0,2.0,,,5.0,2.0,2.0,3.0,,
I came round from operation,relief,envent,1.0,4.0,1.0,3.0,1.0,1.0,,,4.0,1.0,1.0,5.0,,
I came to Canada and applied for few jobs and landed with one in the very first month,surprise,envent,5.0,1.0,4.0,1.0,2.0,1.0,,,5.0,4.0,2.0,5.0,,
"I can still remember a day at work when my colleagues were cracking jokes, am just looking at them without say anything e some were even pointing at me",no-emotion,envent,2.0,2.0,4.0,2.0,3.0,5.0,,,3.0,2.0,3.0,3.0,,
"I can still remember vividly the day i went to my friend birthday party, the way my friends welcome me I felt honored and walk in with full of ..., I gave him the present I brought for him and I left the party after some minutes",pride,envent,5.0,1.0,4.0,3.0,5.0,1.0,,,4.0,3.0,5.0,3.0,,
I can't find anything to do,boredom,envent,1.0,4.0,3.0,1.0,5.0,1.0,,,1.0,3.0,5.0,1.0,,
i cancelled my over time due to being burnt out,relief,envent,4.0,1.0,3.0,3.0,5.0,1.0,,,4.0,4.0,1.0,1.0,,
I cancelled on my friend due to unforeseen circumstances,guilt,envent,1.0,5.0,5.0,4.0,2.0,3.0,,,2.0,3.0,2.0,2.0,,
I cancelled plans last minute with a friend,guilt,envent,3.0,2.0,4.0,5.0,5.0,1.0,,,2.0,5.0,5.0,1.0,,
I catch the bus on myself,boredom,envent,3.0,3.0,1.0,1.0,3.0,3.0,,,1.0,1.0,3.0,2.0,,
I caught my pony that had escaped the field,relief,envent,1.0,5.0,5.0,5.0,2.0,1.0,,,5.0,5.0,1.0,1.0,,
"I caught on TV the fact that there's a planet that's SO COLD its atmosphere is frozen, and I just think that's the coolest thing I've ever heard, it's so incredibly amazing I couldn't believe the whole programme wasn't about this planet (which NASA call 'Hoth' but is actually called OGLE-2005-BLG-390Lb). It just absolutely ... me. (The emotion has lasted only days because I only saw this on the weekend.)",joy,envent,5.0,1.0,4.0,1.0,3.0,2.0,,,1.0,1.0,1.0,3.0,,
I caught the bus the other day to go home.,no-emotion,envent,4.0,1.0,5.0,1.0,4.0,3.0,,,1.0,5.0,3.0,5.0,,
i caught the game winning touchdown pass in a football game against our rival team.,joy,envent,5.0,1.0,4.0,2.0,5.0,3.0,,,2.0,4.0,5.0,3.0,,
"I caused a major IT outage at my workplace because I tried to change a system without having the proper knowledge of the changes I was making, which created alot of work for my team/manager.",guilt,envent,1.0,5.0,5.0,5.0,5.0,2.0,,,4.0,5.0,5.0,5.0,,
I caused my mum to break after i tried to commit suicide,guilt,envent,1.0,5.0,4.0,5.0,5.0,4.0,,,5.0,5.0,1.0,5.0,,
"I changed jobs, was really struggling and broke down in front of my manager and she supported me to make changes. I had previously had a bad manager so had learnt to try avoid problems rather than ask for help, for fear of being told I was bad at my job or punished.",trust,envent,4.0,2.0,4.0,5.0,4.0,5.0,,,5.0,2.0,2.0,3.0,,
I cheated,guilt,envent,1.0,5.0,1.0,4.0,3.0,5.0,,,3.0,1.0,3.0,5.0,,
I cheated in a relationship.,guilt,envent,2.0,5.0,5.0,5.0,3.0,3.0,,,5.0,1.0,5.0,5.0,,
I cheated in a test,guilt,envent,2.0,4.0,4.0,3.0,5.0,1.0,,,4.0,4.0,4.0,1.0,,
"I cheated on a Math test in middle school and got caught by the teacher. I had notes scribbled on my arm which I was covering up with the sleeve of my shirt. The teacher must have noticed me repeatedly looking towards my arm, and came to see what I was doing. She was able to see a word on my wrist so she pulled up my sleeve. She yelled at me, telling me to get out of the class and go to principals office. I felt very ... and ... afterwards, and regretted trying to cheat.",shame,envent,1.0,4.0,4.0,2.0,5.0,1.0,,,5.0,3.0,1.0,4.0,,
I cheated on a math test that I barely passed in high school,guilt,envent,3.0,2.0,4.0,4.0,5.0,1.0,,,5.0,2.0,4.0,1.0,,
I cheated on a test,shame,envent,3.0,4.0,5.0,3.0,2.0,5.0,,,3.0,5.0,4.0,5.0,,
I cheated on an ex after they cheated on me,guilt,envent,4.0,2.0,2.0,4.0,4.0,2.0,,,5.0,3.0,5.0,4.0,,
I check my money on my bank account,sadness,envent,1.0,5.0,1.0,2.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,
I chose to remove my grandparent from my life,no-emotion,envent,4.0,2.0,4.0,3.0,3.0,5.0,,,4.0,1.0,5.0,1.0,,
I cleaned and vacuumed my entire house,relief,envent,5.0,2.0,1.0,1.0,5.0,1.0,,,1.0,1.0,5.0,1.0,,
I cleaned mum in laws paving block driveway,pride,envent,5.0,1.0,5.0,5.0,5.0,4.0,,,2.0,2.0,5.0,4.0,,
"I clicked accidentally on a YouTube video where a person with maggots in their gums was being filmed. I just kept watching despite the fact it was stomach-churning for me,",disgust,envent,1.0,5.0,1.0,1.0,5.0,1.0,,,1.0,1.0,5.0,1.0,,
I collided with an old woman due to the fact that I was in a haste to work.,shame,envent,1.0,5.0,5.0,5.0,4.0,1.0,,,4.0,4.0,4.0,1.0,,
I come home from work and relax at the end of a busy shift.,relief,envent,5.0,1.0,5.0,1.0,5.0,1.0,,,5.0,1.0,1.0,5.0,,
"I compete horses, and I had been using a saddle that didn't fit my horse and it ended up causing the horse pain in his back. and I was ... with myself because I should have been more aware.",disgust,envent,1.0,4.0,5.0,4.0,5.0,1.0,,,3.0,5.0,5.0,1.0,,
I competed figure skating nationals.,pride,envent,4.0,2.0,5.0,5.0,5.0,2.0,,,5.0,5.0,4.0,3.0,,
I complete a party successfully in my event business,pride,envent,5.0,1.0,5.0,5.0,5.0,3.0,,,4.0,4.0,5.0,2.0,,
I completed a 10 mile running race,pride,envent,5.0,1.0,4.0,5.0,3.0,1.0,,,4.0,2.0,4.0,2.0,,
I completed a 26 mile walk for charity,pride,envent,4.0,1.0,3.0,5.0,5.0,2.0,,,2.0,4.0,5.0,1.0,,
"I completed a half marathon, having never run before in my life I committed to the training for this event for 5 months and worked really hard to complete the training and eventually the run itself.",pride,envent,3.0,2.0,5.0,5.0,5.0,1.0,,,3.0,5.0,5.0,1.0,,
I completed a large project at work that got recognized in front of my colleagues,pride,envent,5.0,1.0,2.0,1.0,3.0,1.0,,,1.0,1.0,1.0,5.0,,
"I completed a mixed-media collage art piece and entered it into an auction. I love how the piece turned out, and I ended up making $25 CAD on it!",pride,envent,4.0,1.0,3.0,1.0,3.0,4.0,,,2.0,3.0,3.0,4.0,,
I completed a particularly challenging work task,pride,envent,3.0,2.0,5.0,5.0,1.0,4.0,,,5.0,4.0,4.0,4.0,,
I completed a project,pride,envent,5.0,1.0,5.0,1.0,5.0,1.0,,,5.0,3.0,5.0,1.0,,
I completed a project at work that I had been working on for months.,relief,envent,5.0,1.0,5.0,3.0,5.0,1.0,,,2.0,1.0,5.0,1.0,,
I completed a series of tasks successful during a difficult day at work to the benefit of my company and myself.,joy,envent,3.0,3.0,5.0,5.0,2.0,2.0,,,4.0,4.0,4.0,1.0,,
"I completed a text based online banking simulation using Java programming language. It was connected to a free online database, so that users who downloaded the program could sign up if they were a first time user or login if they were a returning user. They could make fake transactions such as withdrawals, deposits, and update their account information, and it would all be stored in a persistent database the next time they decided to log in. It was just a personal project to learn Java and SQL, but it took me a pretty long time. There was a lot to learn and a lot of kinks to work out, but I was pretty ... that I created something like that once I was done.",pride,envent,5.0,1.0,3.0,5.0,5.0,1.0,,,3.0,1.0,5.0,1.0,,
I completed altering a dress.,pride,envent,5.0,1.0,5.0,4.0,5.0,1.0,,,5.0,3.0,4.0,1.0,,
I completed an acrylic portrait of worked on for several days,pride,envent,5.0,1.0,5.0,3.0,5.0,1.0,,,4.0,1.0,5.0,1.0,,
I completed Kokohead,joy,envent,2.0,4.0,4.0,5.0,4.0,2.0,,,1.0,1.0,4.0,4.0,,
I completed my degree and found out I got a 1st Class Degree overall.,relief,envent,4.0,1.0,5.0,4.0,5.0,2.0,,,5.0,2.0,5.0,1.0,,
I completed my degree in university,pride,envent,5.0,1.0,5.0,5.0,5.0,1.0,,,5.0,5.0,4.0,2.0,,
I completed my final project for an art class and everyone loved it.,pride,envent,5.0,1.0,3.0,1.0,5.0,3.0,,,1.0,1.0,1.0,4.0,,
I completed my first rug I made and felt ...,no-emotion,envent,2.0,2.0,3.0,2.0,5.0,2.0,,,1.0,2.0,4.0,2.0,,
I completed my fitness challenge.,joy,envent,1.0,1.0,3.0,5.0,5.0,1.0,,,5.0,5.0,5.0,1.0,,
I completed the 3 peals challenge,pride,envent,2.0,4.0,5.0,5.0,4.0,3.0,,,3.0,1.0,5.0,4.0,,
I confessed to being in debt and the boyfriend forgave me,trust,envent,1.0,5.0,5.0,5.0,5.0,1.0,,,5.0,5.0,5.0,5.0,,
"I continuously bump into walls and start a cycle of impatience throughout a day. A chain loop that starts with frustration, but continues to make me concentrate less and by the fifth or so time I bump into a wall I'm genuinely ... and want to scream.",anger,envent,1.0,4.0,3.0,4.0,5.0,1.0,,,2.0,1.0,1.0,1.0,,
"i continuously walk by homeless people on the streets and give them nothing, i always say I am going to get them a gatorade or water but never do.. makes me feel ... because they need things much more than i do and they are humans just like me",guilt,envent,1.0,4.0,2.0,2.0,4.0,1.0,,,3.0,2.0,5.0,2.0,,
"I contracted the virus now known as Covid-19. I had already received my first dose of the Pfizer-Moderna vaccine, and was in hospital for two weeks. I very much ... for my life. I did not know if I was going to make it out of the hospital, however thanks to my vaccine, I managed to recover, and am now healthy as a horse!",fear,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,5.0,,
"I cooked Christmas Dinner for my whole family - with no help from others. I have a chronic illness which makes cooking/standing/moving around very difficult, so successfully cooking Christmas dinner, making my own stuffing etc felt amazing. I used chairs, kitchen aids, took breaks, but I made something and it was really good. I have a difficult relationship with food so it was lovely to sit down and enjoy a meal, and enjoy eating for once.",joy,envent,4.0,3.0,5.0,5.0,5.0,3.0,,,2.0,5.0,4.0,2.0,,
I could hear an argument and physical altercation occurring in my building at night. I was supposed to leave my flat for work but it didn't feel safe.,fear,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,1.0,4.0,1.0,5.0,,
I could lay down knowing I did not have any tasks due in the near future.,relief,envent,5.0,1.0,3.0,1.0,5.0,1.0,,,3.0,1.0,5.0,3.0,,
I could not pay a bill,shame,envent,1.0,5.0,3.0,5.0,3.0,3.0,,,3.0,5.0,5.0,2.0,,
I could not understand the teacher who made no effort to explain the concept,anger,envent,1.0,4.0,5.0,4.0,1.0,5.0,,,4.0,1.0,2.0,4.0,,
I could stop taking a medication that was having bad side effects.,relief,envent,4.0,1.0,4.0,2.0,5.0,1.0,,,5.0,4.0,5.0,2.0,,
I couldn't afford a bill.,shame,envent,1.0,5.0,5.0,4.0,3.0,3.0,,,4.0,4.0,2.0,2.0,,
I couldn't control urges and ate when on a diet.,shame,envent,3.0,3.0,1.0,1.0,5.0,1.0,,,1.0,1.0,3.0,1.0,,
"I couldn't go with my partner to work as he was a new driver and wanted the support so he wasn't on his own on the new journey, an emergency work meeting came up and I had to let him down last minute and he had to go on his own and I felt ... that he would be nervous and alone.",guilt,envent,2.0,4.0,4.0,3.0,1.0,5.0,,,3.0,5.0,3.0,5.0,,
I couldn't sleep due to insomnia,boredom,envent,1.0,5.0,3.0,2.0,3.0,3.0,,,3.0,1.0,2.0,1.0,,
I couldn't trust somebody who I trusted with everything.,disgust,envent,1.0,5.0,5.0,3.0,3.0,4.0,,,2.0,4.0,1.0,5.0,,
I couldn't visit my parents during covid lockdowns,sadness,envent,1.0,5.0,5.0,4.0,1.0,2.0,,,1.0,4.0,1.0,2.0,,
I couldnt find my child while out shopping,fear,envent,1.0,5.0,5.0,5.0,3.0,5.0,,,5.0,5.0,5.0,5.0,,
i couldnt help a homeless hungry person,guilt,envent,1.0,5.0,3.0,3.0,1.0,2.0,,,1.0,4.0,3.0,1.0,,
i couldnt help my friend when he was going through a dark time,guilt,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,3.0,4.0,2.0,3.0,,
I couldnt be around someone I wanted to be,sadness,envent,1.0,5.0,2.0,5.0,2.0,5.0,,,5.0,1.0,1.0,4.0,,
I couldnt see my son at the park. I was chatting with another mum when I looked around to check where my son was. For a few moments I couldnt see him and I panicked and felt intense .... I looked around more aggressively and eventually I saw him at the bottom of the park playing with friends. It was very stressful but only lasted a minute or two.,fear,envent,1.0,5.0,5.0,5.0,4.0,3.0,,,3.0,5.0,1.0,2.0,,
i crashed my moms car,guilt,envent,1.0,5.0,4.0,4.0,3.0,3.0,,,5.0,5.0,2.0,2.0,,
I crochet. I finished a blanket for my best friend for her baby shower. I showed it to a couple of my friends and they loved it!,pride,envent,5.0,1.0,1.0,1.0,5.0,1.0,,,3.0,1.0,4.0,1.0,,
I crushed a beetle.,no-emotion,envent,3.0,3.0,3.0,2.0,4.0,2.0,,,2.0,2.0,2.0,2.0,,
I cut a friend out of my life.,guilt,envent,1.0,3.0,5.0,5.0,5.0,3.0,,,5.0,2.0,5.0,3.0,,
I dated my ex,shame,envent,1.0,4.0,2.0,2.0,2.0,4.0,,,1.0,4.0,3.0,3.0,,
I dealt with an incident of abuse involving an elderly widowed man,sadness,envent,1.0,4.0,5.0,3.0,1.0,5.0,,,4.0,4.0,1.0,5.0,,
I decorated my house by myself,pride,envent,4.0,2.0,5.0,5.0,5.0,1.0,,,5.0,1.0,5.0,1.0,,
"I despised my body completely. I was sorting through my clothes and deciding what could be donated, and I had to try things on in the process. I was trying not to look at my full body in the mirror - only the clothes and fit. But the amount of clothes that were too tight/didn't fit right were mounting up. And I felt so overwhelmed with .... I stared in the mirror, pulling at my skin, I disassociated for a few minutes, felt dizzy when I came round, and collapsed on my bed. I sat there for about an hour. Staring at a pile of clothes. I felt ... that I wasn't enough/was too much to be a normal person.",sadness,envent,1.0,4.0,5.0,5.0,4.0,1.0,,,2.0,2.0,2.0,1.0,,
I did a Go Ape course with my friends and a guide,trust,envent,1.0,5.0,5.0,5.0,5.0,1.0,,,3.0,4.0,1.0,2.0,,
I did a sky drive from an airplane,trust,envent,4.0,1.0,5.0,5.0,5.0,1.0,,,5.0,5.0,1.0,5.0,,
"I did a skydive from 10,000 feet in the air",fear,envent,3.0,2.0,5.0,4.0,5.0,1.0,,,2.0,4.0,1.0,3.0,,
"I did an abseil for charity and walked off a very tall block of flats, ... the person holding the rope.",trust,envent,4.0,2.0,5.0,5.0,5.0,2.0,,,2.0,3.0,4.0,4.0,,
I did an online training course for my job about the coronavirus.,no-emotion,envent,2.0,1.0,3.0,2.0,3.0,3.0,,,2.0,3.0,4.0,2.0,,
I did cheating in passing one exam and I got very good grades,shame,envent,2.0,4.0,2.0,3.0,2.0,3.0,,,3.0,3.0,3.0,2.0,,
I did gymnastics and had to ... my coach to catch me when trying new and difficult skills.,trust,envent,4.0,1.0,3.0,3.0,3.0,3.0,,,2.0,4.0,4.0,4.0,,
I did my first dive with my scuba instructor,trust,envent,3.0,3.0,5.0,5.0,4.0,4.0,,,4.0,5.0,5.0,5.0,,
i did my work emails today,no-emotion,envent,2.0,3.0,3.0,2.0,4.0,4.0,,,2.0,3.0,4.0,4.0,,
I did not call my friend early enough.,guilt,envent,2.0,4.0,5.0,5.0,5.0,1.0,,,5.0,5.0,5.0,4.0,,
I did not feel ... when I was sitting at the airport waiting for everyone to start lining up to board the plane.,no-emotion,envent,2.0,4.0,2.0,1.0,5.0,1.0,,,1.0,1.0,3.0,3.0,,
"I did not feel ... when my partner told me that his sister had broken up with her boyfriend. He didn't treat her very well and she was very unhappy with him and although she is my partners sister, her and I are not very close as we do not know each other very well. My partner was sad for his sister but happy about it as her boyfriend wasn't very nice but I felt ... from the situation myself.",no-emotion,envent,1.0,1.0,5.0,1.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
I did not feel I was being listened to.,anger,envent,1.0,4.0,2.0,3.0,3.0,2.0,,,4.0,2.0,2.0,2.0,,
I did not get to say goodbye to my dying grandmother,guilt,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,
I did not invite my mother for dinner as I was tired,guilt,envent,3.0,4.0,1.0,1.0,5.0,1.0,,,2.0,2.0,5.0,1.0,,
I did not prepare adequately for my project defense and I was to present in front of everyone.,fear,envent,1.0,5.0,5.0,4.0,4.0,1.0,,,3.0,4.0,3.0,3.0,,
I did not spend enough time with my son on my days off due to catching up on housework. I then saw photos on social media of other families and felt that I should have done better.,shame,envent,1.0,5.0,2.0,4.0,5.0,1.0,,,2.0,1.0,1.0,3.0,,
"I did not stand up for my friend when I knew she was in the right. However, I didnt know how to handle the situation. In hindsight, i let her down.",shame,envent,1.0,5.0,5.0,5.0,3.0,5.0,,,3.0,5.0,5.0,5.0,,
I did really well in a course I didn't think I would do well in,pride,envent,5.0,1.0,4.0,1.0,5.0,1.0,,,4.0,2.0,4.0,1.0,,
I did something I was asked not to.,guilt,envent,4.0,2.0,4.0,4.0,5.0,5.0,,,4.0,4.0,4.0,4.0,,
I did something wrong,guilt,envent,1.0,4.0,3.0,3.0,4.0,1.0,,,1.0,4.0,1.0,4.0,,
I did stay alone,boredom,envent,1.0,5.0,4.0,2.0,2.0,1.0,,,3.0,3.0,4.0,5.0,,
I did well on my practicum.,joy,envent,5.0,1.0,5.0,4.0,5.0,5.0,,,5.0,3.0,5.0,5.0,,
I did well on my test that I worked hard for,pride,envent,3.0,3.0,5.0,5.0,1.0,4.0,,,2.0,5.0,2.0,5.0,,
i didn't do good,sadness,envent,2.0,4.0,4.0,2.0,5.0,1.0,,,4.0,4.0,5.0,3.0,,
I didn't get a job I interviewed for.,no-emotion,envent,3.0,1.0,3.0,2.0,4.0,4.0,,,3.0,3.0,4.0,4.0,,
I didn't get into the college I wanted to go to,disgust,envent,1.0,5.0,3.0,5.0,3.0,3.0,,,4.0,3.0,1.0,5.0,,
I didn't go to my friend's event which they specifically asked to come because I was sick,guilt,envent,2.0,2.0,2.0,1.0,3.0,1.0,,,1.0,4.0,4.0,1.0,,
I didn't have any severe reaction to the covid vaccination,surprise,envent,5.0,1.0,4.0,4.0,2.0,1.0,,,4.0,1.0,2.0,1.0,,
"I didn't have to answer a call on wednesday because it's been rescheduled, so I have time to calm myself down",relief,envent,1.0,5.0,4.0,4.0,3.0,5.0,,,5.0,4.0,1.0,5.0,,
I didn't have to go to my senior year graduation.,relief,envent,5.0,1.0,1.0,1.0,1.0,4.0,,,4.0,4.0,1.0,4.0,,
I didn't help my sister more during her illness,guilt,envent,1.0,4.0,5.0,3.0,5.0,3.0,,,3.0,3.0,3.0,3.0,,
i didn't help someone when i knew i could have,shame,envent,1.0,5.0,4.0,4.0,5.0,2.0,,,4.0,3.0,4.0,2.0,,
I didn't like how I previously behaved in work,shame,envent,1.0,1.0,1.0,2.0,5.0,1.0,,,1.0,1.0,5.0,1.0,,
I didn't make friends in my first week at Uni,sadness,envent,1.0,5.0,4.0,3.0,3.0,3.0,,,2.0,3.0,2.0,4.0,,
I didn't receive a fellowship,shame,envent,1.0,5.0,3.0,3.0,4.0,5.0,,,5.0,1.0,3.0,5.0,,
I didn't say goodbye to my dog before I left for work because she passed away that afternoon.,guilt,envent,1.0,5.0,1.0,5.0,1.0,1.0,,,3.0,3.0,3.0,1.0,,
I didn't speak up when someone was being racist.,guilt,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,3.0,3.0,2.0,4.0,,
I didn't spend more time with my Dad.,guilt,envent,1.0,5.0,3.0,3.0,4.0,1.0,,,2.0,3.0,3.0,3.0,,
I didn't submit an essay on time at university.,fear,envent,1.0,4.0,3.0,4.0,5.0,1.0,,,5.0,2.0,4.0,2.0,,
I didn't supply a picture for a family members funeral service as I forgot about it on the day,shame,envent,1.0,5.0,2.0,3.0,5.0,1.0,,,2.0,3.0,3.0,1.0,,
I didn;t have to work or have any homework and I have no friends at school,boredom,envent,1.0,4.0,2.0,2.0,5.0,1.0,,,3.0,1.0,5.0,1.0,,
I didnt buy my brother a gift,guilt,envent,1.0,1.0,3.0,2.0,5.0,1.0,,,1.0,1.0,5.0,3.0,,
I DIDNT DO WELL AT WORK WHICH CAUSED A TEAM MEMBER TO BE ANNOYED,shame,envent,1.0,4.0,4.0,4.0,4.0,2.0,,,3.0,4.0,4.0,2.0,,
I didnt pass many exams,no-emotion,envent,3.0,4.0,1.0,3.0,2.0,3.0,,,5.0,2.0,1.0,5.0,,
